Time,URL,having_IP_Address,URL_Length,Shortining_Service,having_At_Symbol,double_slash_redirecting,Prefix_Suffix,having_Sub_Domain,SSLfinal_State,Favicon,port,HTTPS_token,Submitting_to_email,Redirect,age_of_domain,Result
"time.struct_time(tm_year=2021, tm_mon=1, tm_mday=13, tm_hour=16, tm_min=44, tm_sec=47, tm_wday=2, tm_yday=13, tm_isdst=0)",https://gist.github.com/betrcode/0248f0fda894013382d7,1,1,1,1,1,1,1,-1,-1,-1,1,1,1,1,1
"time.struct_time(tm_year=2021, tm_mon=1, tm_mday=13, tm_hour=16, tm_min=45, tm_sec=46, tm_wday=2, tm_yday=13, tm_isdst=0)",https://gist.github.com/betrcode/0248f0fda894013382d7,1,1,1,1,1,1,1,-1,-1,-1,1,1,1,1,1
"time.struct_time(tm_year=2021, tm_mon=1, tm_mday=13, tm_hour=16, tm_min=47, tm_sec=56, tm_wday=2, tm_yday=13, tm_isdst=0)",https://www.youtube.com/watch?v=vgzhb0N7pNA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"time.struct_time(tm_year=2021, tm_mon=1, tm_mday=13, tm_hour=16, tm_min=48, tm_sec=41, tm_wday=2, tm_yday=13, tm_isdst=0)",https://www.youtube.com/watch?v=vgzhb0N7pNA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"time.struct_time(tm_year=2021, tm_mon=1, tm_mday=13, tm_hour=16, tm_min=49, tm_sec=36, tm_wday=2, tm_yday=13, tm_isdst=0)",https://www.youtube.com/watch?v=vgzhb0N7pNA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"time.struct_time(tm_year=2021, tm_mon=1, tm_mday=13, tm_hour=16, tm_min=51, tm_sec=26, tm_wday=2, tm_yday=13, tm_isdst=0)",https://gist.github.com/betrcode/0248f0fda894013382d7,1,1,1,1,1,1,1,-1,-1,-1,1,1,1,1,1
"time.struct_time(tm_year=2021, tm_mon=1, tm_mday=13, tm_hour=16, tm_min=52, tm_sec=35, tm_wday=2, tm_yday=13, tm_isdst=0)",https://gist.github.com/betrcode/0248f0fda894013382d7,1,1,1,1,1,1,1,-1,-1,-1,1,1,1,1,1
"time.struct_time(tm_year=2021, tm_mon=1, tm_mday=13, tm_hour=16, tm_min=54, tm_sec=53, tm_wday=2, tm_yday=13, tm_isdst=0)",https://gist.github.com/betrcode/0248f0fda894013382d7,1,1,1,1,1,1,1,-1,-1,-1,1,1,1,1,1
"time.struct_time(tm_year=2021, tm_mon=1, tm_mday=13, tm_hour=16, tm_min=54, tm_sec=59, tm_wday=2, tm_yday=13, tm_isdst=0)",https://gist.github.com/betrcode/0248f0fda894013382d7,1,1,1,1,1,1,1,-1,-1,-1,1,1,1,1,1
"time.struct_time(tm_year=2021, tm_mon=1, tm_mday=13, tm_hour=16, tm_min=56, tm_sec=3, tm_wday=2, tm_yday=13, tm_isdst=0)",https://gist.github.com/betrcode/0248f0fda894013382d7,1,1,1,1,1,1,1,-1,-1,-1,1,1,1,1,1
"time.struct_time(tm_year=2021, tm_mon=1, tm_mday=13, tm_hour=16, tm_min=56, tm_sec=29, tm_wday=2, tm_yday=13, tm_isdst=0)",https://gist.github.com/betrcode/0248f0fda894013382d7,1,1,1,1,1,1,1,-1,-1,-1,1,1,1,1,1
"time.struct_time(tm_year=2021, tm_mon=1, tm_mday=13, tm_hour=16, tm_min=56, tm_sec=39, tm_wday=2, tm_yday=13, tm_isdst=0)",https://gist.github.com/betrcode/0248f0fda894013382d7,1,1,1,1,1,1,1,-1,-1,-1,1,1,1,1,1
"time.struct_time(tm_year=2021, tm_mon=1, tm_mday=13, tm_hour=16, tm_min=56, tm_sec=48, tm_wday=2, tm_yday=13, tm_isdst=0)",https://gist.github.com/betrcode/0248f0fda894013382d7,1,1,1,1,1,1,1,-1,-1,-1,1,1,1,1,1
"time.struct_time(tm_year=2021, tm_mon=1, tm_mday=13, tm_hour=16, tm_min=58, tm_sec=59, tm_wday=2, tm_yday=13, tm_isdst=0)",https://gist.github.com/betrcode/0248f0fda894013382d7,1,1,1,1,1,1,1,-1,-1,-1,1,1,1,1,1
"time.struct_time(tm_year=2021, tm_mon=1, tm_mday=13, tm_hour=17, tm_min=5, tm_sec=53, tm_wday=2, tm_yday=13, tm_isdst=0)",https://gist.github.com/betrcode/0248f0fda894013382d7,1,1,1,1,1,1,1,-1,-1,-1,1,1,1,1,1
"time.struct_time(tm_year=2021, tm_mon=1, tm_mday=13, tm_hour=17, tm_min=5, tm_sec=59, tm_wday=2, tm_yday=13, tm_isdst=0)",https://gist.github.com/betrcode/0248f0fda894013382d7,1,1,1,1,1,1,1,-1,-1,-1,1,1,1,1,1
"time.struct_time(tm_year=2021, tm_mon=1, tm_mday=13, tm_hour=17, tm_min=6, tm_sec=6, tm_wday=2, tm_yday=13, tm_isdst=0)",https://gist.github.com/betrcode/0248f0fda894013382d7,1,1,1,1,1,1,1,-1,-1,-1,1,1,1,1,1
"time.struct_time(tm_year=2021, tm_mon=1, tm_mday=13, tm_hour=17, tm_min=6, tm_sec=23, tm_wday=2, tm_yday=13, tm_isdst=0)",https://gist.github.com/betrcode/0248f0fda894013382d7,1,1,1,1,1,1,1,-1,-1,-1,1,1,1,1,1
"time.struct_time(tm_year=2021, tm_mon=1, tm_mday=13, tm_hour=17, tm_min=6, tm_sec=33, tm_wday=2, tm_yday=13, tm_isdst=0)",https://gist.github.com/betrcode/0248f0fda894013382d7,1,1,1,1,1,1,1,-1,-1,-1,1,1,1,1,1
"time.struct_time(tm_year=2021, tm_mon=1, tm_mday=13, tm_hour=17, tm_min=6, tm_sec=38, tm_wday=2, tm_yday=13, tm_isdst=0)",https://gist.github.com/betrcode/0248f0fda894013382d7,1,1,1,1,1,1,1,-1,-1,-1,1,1,1,1,1
"time.struct_time(tm_year=2021, tm_mon=1, tm_mday=13, tm_hour=17, tm_min=7, tm_sec=34, tm_wday=2, tm_yday=13, tm_isdst=0)",https://www.youtube.com/watch?v=tXpFERibRaU,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"time.struct_time(tm_year=2021, tm_mon=1, tm_mday=13, tm_hour=17, tm_min=8, tm_sec=20, tm_wday=2, tm_yday=13, tm_isdst=0)",https://www.youtube.com/watch?v=tXpFERibRaU,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"time.struct_time(tm_year=2021, tm_mon=1, tm_mday=13, tm_hour=17, tm_min=10, tm_sec=51, tm_wday=2, tm_yday=13, tm_isdst=0)",https://www.youtube.com/watch?v=tXpFERibRaU,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"time.struct_time(tm_year=2021, tm_mon=1, tm_mday=13, tm_hour=17, tm_min=12, tm_sec=47, tm_wday=2, tm_yday=13, tm_isdst=0)",https://www.youtube.com/watch?v=tXpFERibRaU,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"time.struct_time(tm_year=2021, tm_mon=1, tm_mday=13, tm_hour=17, tm_min=13, tm_sec=2, tm_wday=2, tm_yday=13, tm_isdst=0)",https://gist.github.com/betrcode/0248f0fda894013382d7,1,1,1,1,1,1,1,-1,-1,-1,1,1,1,1,1
"time.struct_time(tm_year=2021, tm_mon=1, tm_mday=13, tm_hour=17, tm_min=13, tm_sec=8, tm_wday=2, tm_yday=13, tm_isdst=0)",https://gist.github.com/betrcode/0248f0fda894013382d7,1,1,1,1,1,1,1,-1,-1,-1,1,1,1,1,1
"time.struct_time(tm_year=2021, tm_mon=1, tm_mday=13, tm_hour=17, tm_min=13, tm_sec=14, tm_wday=2, tm_yday=13, tm_isdst=0)",https://gist.github.com/betrcode/0248f0fda894013382d7,1,1,1,1,1,1,1,-1,-1,-1,1,1,1,1,1
"time.struct_time(tm_year=2021, tm_mon=1, tm_mday=13, tm_hour=17, tm_min=14, tm_sec=23, tm_wday=2, tm_yday=13, tm_isdst=0)",https://gist.github.com/betrcode/0248f0fda894013382d7,1,1,1,1,1,1,1,-1,-1,-1,1,1,1,1,1
"time.struct_time(tm_year=2021, tm_mon=1, tm_mday=13, tm_hour=17, tm_min=16, tm_sec=22, tm_wday=2, tm_yday=13, tm_isdst=0)",https://www.youtube.com/watch?v=vgzhb0N7pNA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"time.struct_time(tm_year=2021, tm_mon=1, tm_mday=13, tm_hour=17, tm_min=16, tm_sec=59, tm_wday=2, tm_yday=13, tm_isdst=0)",https://www.youtube.com/watch?v=vgzhb0N7pNA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"time.struct_time(tm_year=2021, tm_mon=1, tm_mday=13, tm_hour=17, tm_min=17, tm_sec=18, tm_wday=2, tm_yday=13, tm_isdst=0)",https://www.youtube.com/watch?v=vgzhb0N7pNA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"time.struct_time(tm_year=2021, tm_mon=1, tm_mday=13, tm_hour=17, tm_min=18, tm_sec=24, tm_wday=2, tm_yday=13, tm_isdst=0)",https://www.youtube.com/watch?v=vgzhb0N7pNA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"time.struct_time(tm_year=2021, tm_mon=1, tm_mday=13, tm_hour=17, tm_min=18, tm_sec=45, tm_wday=2, tm_yday=13, tm_isdst=0)",https://www.youtube.com/watch?v=vgzhb0N7pNA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
